ID,Time,Action,EventDescription,UserId,UserDescription
50,2019-05-07 05:19:00 +0000 UTC,edit_application,Edited application vijhawbhfqjfv: access_type: acl => all,1,Ready RStudio (rstudio)
49,2019-05-07 05:17:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-6-6.tar.gz to application vijhawbhfqjfv,1,Ready RStudio (rstudio)
48,2019-05-07 05:17:00 +0000 UTC,upload_bundle,Uploaded bundle for app vijhawbhfqjfv (28086 bytes),1,Ready RStudio (rstudio)
47,2019-05-07 05:17:00 +0000 UTC,add_application,Created application vijhawbhfqjfv,1,Ready RStudio (rstudio)
46,2019-05-07 05:17:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in '8964c14c58' to app fawypmikimohd,1,Ready RStudio (rstudio)
45,2019-05-07 05:17:00 +0000 UTC,add_vanity,Added vanity url /enterprise/ for app 5,1,Ready RStudio (rstudio)
44,2019-05-07 05:17:00 +0000 UTC,add_app_tag,Added tag Enterprise for app 5,1,Ready RStudio (rstudio)
43,2019-05-07 05:17:00 +0000 UTC,add_tag_with_parent,Added tag Enterprise with ID 3 as a child of 1,1,Ready RStudio (rstudio)
42,2019-05-07 05:17:00 +0000 UTC,edit_application,Edited application fawypmikimohd: access_type: acl => all,1,Ready RStudio (rstudio)
41,2019-05-07 05:16:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-5-5.tar.gz to application fawypmikimohd,1,Ready RStudio (rstudio)
40,2019-05-07 05:16:00 +0000 UTC,upload_bundle,Uploaded bundle for app fawypmikimohd (35136 bytes),1,Ready RStudio (rstudio)
39,2019-05-07 05:16:00 +0000 UTC,add_application,Created application fawypmikimohd,1,Ready RStudio (rstudio)
38,2019-05-07 05:16:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in '593c4a9c2c' to app nuvnzqscddnda,1,Ready RStudio (rstudio)
37,2019-05-07 05:16:00 +0000 UTC,add_vanity,Added vanity url /stock-portfolio/app/ for app 4,1,Ready RStudio (rstudio)
36,2019-05-07 05:16:00 +0000 UTC,add_app_tag,Added tag Stock Portfolio for app 4,1,Ready RStudio (rstudio)
35,2019-05-07 05:16:00 +0000 UTC,edit_application,Edited application nuvnzqscddnda: access_type: acl => all,1,Ready RStudio (rstudio)
34,2019-05-07 05:15:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-4-4.tar.gz to application nuvnzqscddnda,1,Ready RStudio (rstudio)
33,2019-05-07 05:15:00 +0000 UTC,upload_bundle,Uploaded bundle for app nuvnzqscddnda (63854 bytes),1,Ready RStudio (rstudio)
32,2019-05-07 05:15:00 +0000 UTC,add_application,Created application nuvnzqscddnda,1,Ready RStudio (rstudio)
31,2019-05-07 05:15:00 +0000 UTC,variant_sender,Received a request to email variant 2 (default) for app 3,1,Ready RStudio (rstudio)
30,2019-05-07 05:15:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in '1790ebff11' to app fixsaqmrviltk,1,Ready RStudio (rstudio)
29,2019-05-07 05:15:00 +0000 UTC,add_vanity,Added vanity url /stock-portfolio/report/ for app 3,1,Ready RStudio (rstudio)
28,2019-05-07 05:15:00 +0000 UTC,add_app_tag,Added tag Stock Portfolio for app 3,1,Ready RStudio (rstudio)
27,2019-05-07 05:15:00 +0000 UTC,edit_application,Edited application fixsaqmrviltk: access_type: acl => all,1,Ready RStudio (rstudio)
26,2019-05-07 05:14:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-3-3.tar.gz to application fixsaqmrviltk,1,Ready RStudio (rstudio)
25,2019-05-07 05:14:00 +0000 UTC,upload_bundle,Uploaded bundle for app fixsaqmrviltk (65950 bytes),1,Ready RStudio (rstudio)
24,2019-05-07 05:14:00 +0000 UTC,add_application,Created application fixsaqmrviltk,1,Ready RStudio (rstudio)
23,2019-05-07 05:14:00 +0000 UTC,variant_sender,Received a request to email variant 1 (default) for app 2,1,Ready RStudio (rstudio)
22,2019-05-07 05:14:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in '60aeffdeac' to app ryhrodysruyxx,1,Ready RStudio (rstudio)
21,2019-05-07 05:14:00 +0000 UTC,add_vanity,Added vanity url /stock-portfolio/report-ppt-pdf/ for app 2,1,Ready RStudio (rstudio)
20,2019-05-07 05:14:00 +0000 UTC,add_app_tag,Added tag Stock Portfolio for app 2,1,Ready RStudio (rstudio)
19,2019-05-07 05:14:00 +0000 UTC,edit_application,Edited application ryhrodysruyxx: access_type: acl => all,1,Ready RStudio (rstudio)
18,2019-05-07 04:38:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-2-2.tar.gz to application ryhrodysruyxx,1,Ready RStudio (rstudio)
17,2019-05-07 04:38:00 +0000 UTC,upload_bundle,Uploaded bundle for app ryhrodysruyxx (875867 bytes),1,Ready RStudio (rstudio)
16,2019-05-07 04:38:00 +0000 UTC,add_application,Created application ryhrodysruyxx,1,Ready RStudio (rstudio)
15,2019-05-07 04:38:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in '36d8b42ff7' to app dawomxgpfiagh,1,Ready RStudio (rstudio)
14,2019-05-07 04:38:00 +0000 UTC,add_vanity,Added vanity url /stock-portfolio/api/ for app 1,1,Ready RStudio (rstudio)
13,2019-05-07 04:38:00 +0000 UTC,add_app_tag,Added tag Stock Portfolio for app 1,1,Ready RStudio (rstudio)
12,2019-05-07 04:38:00 +0000 UTC,add_tag_with_parent,Added tag Stock Portfolio with ID 2 as a child of 1,1,Ready RStudio (rstudio)
11,2019-05-07 04:38:00 +0000 UTC,add_tag,Added tag category Demo Content with ID 1,1,Ready RStudio (rstudio)
10,2019-05-07 04:38:00 +0000 UTC,edit_application,Edited application dawomxgpfiagh: access_type: acl => all,1,Ready RStudio (rstudio)
9,2019-05-07 04:14:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-1-1.tar.gz to application dawomxgpfiagh,1,Ready RStudio (rstudio)
8,2019-05-07 04:14:00 +0000 UTC,upload_bundle,Uploaded bundle for app dawomxgpfiagh (18287 bytes),1,Ready RStudio (rstudio)
7,2019-05-07 04:14:00 +0000 UTC,add_application,Created application dawomxgpfiagh,1,Ready RStudio (rstudio)
6,2019-05-07 04:14:00 +0000 UTC,add_user,Added user Profound Publisher (publisher),1,Ready RStudio (rstudio)
5,2019-05-07 04:14:00 +0000 UTC,add_user,Added user Visible Viewer (viewer),1,Ready RStudio (rstudio)
4,2019-05-07 04:14:00 +0000 UTC,add_user,Added user Awesome Admin (admin),1,Ready RStudio (rstudio)
3,2019-05-07 04:14:00 +0000 UTC,add_api_key,Added API key quickstart-key with ID 1 and owner 1,1,Ready RStudio (rstudio)
2,2019-05-07 04:14:00 +0000 UTC,edit_user,"Edited user Ready RStudio (rstudio): email:  => rstudio@example.com, first_name:  => Ready, last_name:  => RStudio, updated_time: 2019-05-07 04:14:44.288751986 +0000 UTC => 2019-05-07 04:14:44.402294177 +0000 UTC",1,Ready RStudio (rstudio)
1,2019-05-07 04:14:00 +0000 UTC,add_user,Added user   (rstudio),1,"  (rstudio)"
